"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
1002143,529,"Ben McKay","NTH","23","DEF",,34.33,22,"4",,,,,,,,
1000905,530,"Tom Murphy","NTH","40","DEF",,0,21,"4",,,,28,58,41,,41
1011771,531,"Flynn Perez","NTH","39","DEF",,0,18,"",,,,,,,"Knee: 9-11 weeks (2020-03-10)",
290156,532,"Jasper Pittard","NTH","17","DEF",,79.55,28,"148",36,82,37,86,85,86,,61.5
290738,533,"Jared Polec","NTH","13","MID",,87.73,27,"128",,,,75,69,92,,92
1006058,534,"Bailey Scott","NTH","8","MID","FWD",54,19,"4",48,85,48,,,,,48
993998,535,"Jy Simpkin","NTH","12","FWD","MID",70.52,21,"56",95,79,102,87,76,97,,99.5
270325,536,"Robbie Tarrant","NTH","25","DEF",,82.45,30,"148",,,,73,78,80,,80
1006137,537,"Curtis Taylor","NTH","31","FWD",,20,19,"2",33,42,67,95,86,94,,80.5
1005729,538,"Tarryn Thomas","NTH","26","FWD",,62.6,19,"20",61,77,67,52,49,90,,78.5
992499,539,"Kayne Turner","NTH","28","FWD",,60.67,24,"79",47,74,54,,,,"Sesamoid/foot: 9-11 weeks (2020-03-10)",54
291784,540,"Dom Tyson","NTH","21","MID",,75.67,26,"110",,,,,,,,
298287,541,"Ed Vickers-Willis","NTH","33","DEF",,1,23,"15",,,,,,,"Knee: TBC (2020-03-10)",
291550,542,"Josh Walker","NTH",,"DEF",,63.64,,,96,77,106,70,75,79,,92.5
1005084,543,"Will Walker","NTH","27","FWD",,0,20,"4",,,,,,,,
295256,544,"Marley Williams","NTH","2","DEF",,61.65,26,"119",36,60,51,,,,"Suspension: Round 3 (2020-03-10)",51
295340,545,"Mason Wood","NTH","32","FWD",,65.61,26,"57",,,,,,,,
1004965,546,"Tristan Xerri","NTH","38","RUC","FWD",0,20,"0",98,79,105,37,68,46,,75.5
280944,547,"Jack Ziebell","NTH","7","FWD","MID",90.86,28,"210",,,,16,38,36,,36
998484,548,"Cameron Zurhaar","NTH","44","FWD",,65.16,21,"28",48,77,53,20,79,22,,37.5
297354,549,"Karl Amon","PTA","15","MID",,77.06,24,"59",53,68,66,81,83,83,,74.5
998126,550,"Joe Atley","PTA","30","MID",,66,21,"4",,,,,,,,
1009191,551,"Miles Bergman","PTA","14","FWD",,0,18,"",,,,,,,"Ankle: Test (2020-03-10)",
250365,552,"Travis Boak","PTA","10","MID",,107.24,31,"264",120,67,152,83,71,99,,125.5
994599,553,"Riley Bonner","PTA","26","DEF",,69.16,22,"42",50,70,61,77,91,72,,66.5
1008531,554,"Trent Burgoyne","PTA","31","FWD",,0,18,"",,,,,,,,
992128,555,"Ryan Burton","PTA","3","DEF",,74,22,"63",58,78,63,92,74,106,,84.5
1006121,556,"Zak Butters","PTA","18","FWD",,60.53,19,"19",65,70,79,49,66,63,,71
991930,557,"Darcy Byrne-Jones","PTA","33","DEF",,87.18,24,"86",57,77,63,94,88,91,,77
294504,558,"Tom Clurey","PTA","17","DEF",,74,25,"81",39,75,44,52,90,49,,46.5
1002355,559,"Tobin Cox","PTA","47","FWD",,0,20,"",24,62,33,,,,,33
280711,560,"Charlie Dixon","PTA","22","FWD",,64.56,29,"135",98,85,98,61,63,82,"Groin: 1-2 weeks (2020-03-10)",90
1000972,561,"Willem Drew","PTA","28","MID",,72.3,21,"10",,,,32,36,76,,76
1006096,562,"Xavier Duursma","PTA","21","MID",,73.95,19,"20",80,70,97,31,73,36,,66.5
261911,563,"Brad Ebert","PTA","7","FWD",,76.45,29,"246",43,74,49,47,36,111,,80
1002253,564,"Kane Farrell","PTA","24","FWD",,48.57,20,"12",37,74,42,71,75,80,,61
999320,565,"Martin Frederick","PTA","45","DEF",,0,19,"",,,,,,,,
998321,566,"Joel Garner","PTA","27","DEF",,50.5,20,"4",,,,,,,,
1010174,567,"Mitchell Georgiades","PTA","19","FWD",,0,18,"",35,49,61,43,73,50,,55.5
261396,568,"Robbie Gray","PTA","9","FWD","MID",83.42,31,"216",,,,93,82,96,,96
1004829,569,"Riley Grundy","PTA","41","DEF",,0,19,"",,,,,,,"Knee: TBC (2020-03-10)",
261892,570,"Hamish Hartlett","PTA","8","DEF",,80.09,29,"164",68,74,78,83,81,87,,82.5
1002248,571,"Sam Hayes","PTA","25","RUC",,0,20,"0",,,,,,,,
994295,572,"Dan Houston","PTA","5","DEF","MID",89.29,22,"60",96,71,115,40,41,83,,99
